return_date,product_id,store_id,quantity
1997-01-01,250,6,1
1997-01-01,628,6,1
1997-01-01,869,6,1
1997-01-02,469,11,1
1997-01-02,532,23,2
1997-01-02,742,23,1
1997-01-02,761,11,1
1997-01-02,1396,11,1
1997-01-03,1,7,1
1997-01-03,365,7,2
1997-01-03,385,7,1
1997-01-03,671,7,1
1997-01-03,1329,23,2
1997-01-05,70,15,1
1997-01-05,461,7,1
1997-01-05,469,23,1
1997-01-05,850,7,1
1997-01-05,927,7,1
1997-01-05,961,23,1
1997-01-05,987,23,1
1997-01-05,1117,23,1
1997-01-05,1292,15,1
1997-01-05,1458,23,1
1997-01-06,23,24,1
1997-01-06,40,24,2
1997-01-06,43,6,1
1997-01-06,85,24,1
1997-01-06,193,24,1
1997-01-06,464,3,1
1997-01-06,918,3,1
1997-01-06,1104,24,2
1997-01-06,1296,3,1
1997-01-07,310,13,1
1997-01-07,418,13,1
1997-01-07,599,13,1
1997-01-07,638,13,1
1997-01-07,1078,13,1
1997-01-07,1152,13,2
1997-01-07,1257,11,1
1997-01-09,132,23,1
1997-01-09,254,3,1
1997-01-09,290,3,1
1997-01-09,568,23,1
1997-01-09,1081,3,2
1997-01-09,1164,3,1
1997-01-09,1230,3,1
1997-01-09,1371,23,1
1997-01-10,12,24,2
1997-01-10,238,24,1
1997-01-10,358,24,1
1997-01-10,964,24,1
1997-01-11,75,13,1
1997-01-11,107,13,1
1997-01-11,188,13,2
1997-01-11,189,13,1
1997-01-11,229,13,2
1997-01-11,391,13,1
1997-01-11,412,24,2
1997-01-11,475,13,1
1997-01-11,484,6,1
1997-01-11,569,13,1
1997-01-11,590,13,1
1997-01-11,594,17,2
1997-01-11,669,17,2
1997-01-11,804,13,1
1997-01-11,915,24,1
1997-01-11,950,6,1
1997-01-11,959,13,1
1997-01-11,992,13,1
1997-01-11,1046,13,1
1997-01-11,1049,13,1
1997-01-11,1063,13,1
1997-01-11,1226,13,1
1997-01-11,1319,13,1
1997-01-11,1327,24,1
1997-01-11,1393,13,1
1997-01-11,1404,13,1
1997-01-11,1445,13,1
1997-01-12,361,7,1
1997-01-12,726,7,1
1997-01-13,466,17,1
1997-01-13,551,17,1
1997-01-13,592,17,1
1997-01-13,895,17,1
1997-01-13,982,17,1
1997-01-13,1107,15,2
1997-01-13,1291,3,1
1997-01-13,1523,15,2
1997-01-13,1531,17,1
1997-01-14,439,6,1
1997-01-14,1098,6,2
1997-01-15,366,24,1
1997-01-15,603,24,1
1997-01-15,879,24,1
1997-01-15,1162,24,1
1997-01-15,1179,24,1
1997-01-16,391,17,1
1997-01-16,551,17,2
1997-01-16,760,17,2
1997-01-16,1043,17,1
1997-01-16,1398,17,1
1997-01-16,1439,17,1
1997-01-17,17,6,1
1997-01-17,176,11,1
1997-01-17,194,6,2
1997-01-17,320,24,1
1997-01-17,598,24,2
1997-01-17,865,24,1
1997-01-17,952,11,2
1997-01-17,954,24,2
1997-01-17,1004,11,1
1997-01-17,1271,24,1
1997-01-18,13,15,1
1997-01-18,139,15,1
1997-01-18,360,15,1
1997-01-18,537,15,1
1997-01-19,167,7,1
1997-01-19,434,16,1
1997-01-19,455,7,1
1997-01-19,497,7,1
1997-01-19,1051,16,1
1997-01-19,1337,7,1
1997-01-19,1463,7,1
1997-01-19,1496,16,2
1997-01-19,1542,7,1
1997-01-20,93,11,1
1997-01-20,100,13,1
1997-01-20,197,16,1
1997-01-20,271,13,1
1997-01-20,443,7,1
1997-01-20,563,16,1
1997-01-20,683,11,1
1997-01-20,784,13,1
1997-01-20,860,11,1
1997-01-20,894,7,1
1997-01-20,1038,11,1
1997-01-20,1045,16,2
1997-01-20,1053,16,1
1997-01-20,1212,11,1
1997-01-20,1218,13,1
1997-01-20,1220,13,1
1997-01-20,1355,16,1
1997-01-20,1357,13,2
1997-01-20,1402,13,1
1997-01-20,1556,16,1
1997-01-21,259,3,1
1997-01-21,360,16,1
1997-01-21,486,16,1
1997-01-21,520,3,2
1997-01-21,651,13,1
1997-01-21,851,13,1
1997-01-21,921,13,1
